created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url
Thu Nov 30 05:32:52 +0000 2023,1.73009754155827E+018,"B I R A H I  P I N O K I O  Tiga periode  Big data dukungan publik utk 3 periode Penundaan Pemilu 2024 Perpanjangan masa jabatan Presiden  Semua proposal"" dgn dalih dan dalil yahana - yahanu, mak ini - mak itu terkait hal tsb di atas â€¢ DITOLAK @PDI_Perjuangan  _____________â€¦ https://t.co/jTC6sRzqeU""",28,115,426,864,in,1.15968917334058E+018,1.73009754155827E+018,__AnakKolong,https://twitter.com/__AnakKolong/status/1730097541558272061
Wed Nov 29 07:07:47 +0000 2023,1.72975904126472E+018,"Menangkan AMIN! NasDem Jakarta Timur ikuti deklarasi kampanye pemenangan AMIN di Gor Ciracas, Jakarta Timur, Selasa (28/11).   Ketua DPD NasDem Jakarta Timur kakak Canter Sangaji menjelaskan NasDem sudah sangat siap untuk memulai kampanye pemilu 2024 dan siap memenangkan pasanganâ€¦ https://t.co/k8wXiOEWqj",3,7,234,736,in,109149190,1.72975904126472E+018,NasDem,https://twitter.com/NasDem/status/1729759041264722351
Tue Nov 28 15:04:28 +0000 2023,1.72951661451592E+018,"ð—¦ð—²ð—»ð—¶ð—», ðŸ®ðŸ³ ð—¡ð—¼ð˜ƒð—²ð—ºð—¯ð—²ð—¿ ðŸ®ðŸ¬ðŸ®ðŸ¯: Hotline TPN Ganjar-Mahfud resmi diluncurkan.  Melalui nomor 08001503335 yang siaga 24 jam, masyarakat bisa melaporkan dugaan pelanggaran Pemilu 2024. Jikalau melihat ada kecurangan, laporkan!  https://t.co/XFkL0f7IMP https://t.co/fgenfNXndF",19,81,294,851,in,460655540,1.72951661451592E+018,Hary_Tanoe,https://twitter.com/Hary_Tanoe/status/1729516614515921245
Tue Nov 28 08:36:48 +0000 2023,1.72941905393529E+018,"Papua Menyambut Kehadiran Ganjar Pranowo dengan Riang Gembira  Wakil Ketua Adat masyarakat kampung Wurung, Walia Nalo dan Mataram menegaskan bahwa warga Papua seratus persen akan mendukung Ganjar-Mahfud menjadi pemimpinnya pada Pemilu 2024 mendatang.  Ketulusan serta keihklasanâ€¦ https://t.co/R4fc5tLc4N",5,8,163,605,in,2542665199,1.72941905393529E+018,YRadianto,https://twitter.com/YRadianto/status/1729419053935292530
Tue Nov 28 05:35:06 +0000 2023,1.72937332785534E+018,"Sriuslah Klen BOY Ini Nasib 200jt Jiwa diPertaruhkn, Salah klen Memilih. Kacau Balau Nasib Klen Kdepan-y  Jgn Di No2âƒ£kan Apalagi Klen No3âƒ£kan urusan PEMILU2024  Prioritaskn &amp  Pastikn di No 1âƒ£Kan PEMILU bsk  Ayo Kita Satukn Niat Satukan Tekat u/ Me NoSatukn Suara Memenangkn AMINâœŠ https://t.co/QdWagW8r34",23,90,372,920,in,1.03151479300009E+018,1.72937332785534E+018,BarBaro5_,https://twitter.com/BarBaro5_/status/1729373327855346071
Tue Nov 28 05:24:24 +0000 2023,1.7293706376875E+018,"Untuk Partai mari kita coblos @PKSejahtera , kita jadikan partai pemenang pemilu 2024.  Agar kedepan lebih punya power di parlemen dalam memperjuangkan kesejahteran rakyat.  Terbukti 20th terkahir, hanya partai ini yg paling peduli terhadap rakyat nya.  Gimana...? Setuju...??? https://t.co/8FUMwzx6wT",18,69,530,1318,in,8.81504623072133E+017,1.7293706376875E+018,Tjel0up,https://twitter.com/Tjel0up/status/1729370637687509382
Tue Nov 28 05:01:11 +0000 2023,1.72936479218249E+018,Besar Kemungkinan Pemilu 2024 Curang makanya Rakyat wajib mengawal..!! https://t.co/uCSeRGR9KD,9,11,321,694,in,1.40183707316686E+018,1.72936479218249E+018,DaengWahidin2,https://twitter.com/DaengWahidin2/status/1729364792182497384
Tue Nov 28 03:08:45 +0000 2023,1.72933649870377E+018,âœ… RESMI : Masa kampanye Pemilu 2024 dimulai per HARI INI hingga 75 hari ke depan (28 Nov 2023 - 10 Feb 2024). ðŸ“¢ https://t.co/NOgKT02m22,52,145,174,1659,in,1.22292752203309E+018,1.72933649870377E+018,idextratime,https://twitter.com/idextratime/status/1729336498703778052
Tue Nov 28 02:12:52 +0000 2023,1.72932243519408E+018,"MasyaAllah, untk mencegah bentuk kecurangan di pilpres 2024 sebanyak 1300an Anggota Advokasi Hukum AMIN siap membela, melindungi dari segala bentuk kecurangan Pemilu 2024 di seluruh Indonesia.  Gasspolll AMIN â˜ï¸ https://t.co/sH9iVI9quH",19,31,794,1908,in,1.60359368800511E+018,1.72932243519408E+018,Malika6027,https://twitter.com/Malika6027/status/1729322435194089773
Mon Nov 27 22:51:10 +0000 2023,1.72927167491338E+018,Megawati di Hadapan Relawan Ganjar-Mahfud: di Pemilu 2024 Saya Tidak Dihormati https://t.co/Z0HKIgLqCS,120,671,118,725,in,71436318,1.72927167491338E+018,KompasTV,https://twitter.com/KompasTV/status/1729271674913386505
